項次,補助縣市,申請補(捐)助單位,核准日期,活動名稱,活動時間(起),活動時間(迄),活動地點,核准補助金額(千元),核准理由(預期效益),核准補助金額(元)
6802,臺中市龍井區,臺中市龍井區公所,#####,辦理山腳里環保志工第五小隊「106年度環保志工戶外參訪暨支持電源開發推廣乾淨能源宣導活動」,#####,#####,南部地區,15,加強地方關係、促進電源開發及節約用電,15000
6805,臺中市龍井區,臺中市大肚區大肚社區發展協會,#####,辦理106年度大肚里環保義工隊文化觀摩暨節約能源宣導活動,#####,#####,嘉義地區,10,加強地方關係、促進電源開發及節約用電,10000
6831,臺中市龍井區,臺中市龍井區東海社區發展協會,#####,辦理長壽俱樂部文化觀摩暨節能減碳宣導活動,#####,#####,北部地區,20,加強地方關係、促進電源開發及節約用電,20000
6847,臺中市龍井區,臺中市太極拳華陀五禽之戲協會,#####,辦理106年度太極拳武藝研習暨節約能源宣導活動,#####,#####,沙鹿區,10,加強地方關係、促進電源開發及節約用電,10000
6859,臺中市龍井區,臺中市龍井區龍津社區發展協會,#####,辦理106年度社區志工業務座談會暨推廣乾淨能源政策宣導活動,#####,#####,龍井區,15,加強地方關係、促進電源開發及節約用電,15000
6882,臺中市龍井區,臺中市龍井區山腳社區發展協會,#####,「志工與長青境外績優關懷據點參訪與實務交流暨節能減碳及推廣潔淨能源政策宣導活動」,#####,#####,南部,20,敦親睦鄰提升企業形象,20000
6888,臺中市龍井區,臺中市龍井區老人會,#####,辦理106年戶政法令及人口政策宣導講座暨推廣節能減碳宣導活動,#####,#####,龍井區,20,加強地方關係、促進電源開發及節約用電,20000
6913,臺中市龍井區,孫世妹,#####,發放急難救助金,#####,#####,龍井區,10,加強地方關係、促進電源開發及節約用電,10000
6918,臺中市龍井區,臺中市龍井區公所,#####,辦理龍津里環保志工第四小隊「106年跨縣市觀摩暨節能減碳宣導活動」,#####,#####,南部地區,15,加強地方關係、促進電源開發及節約用電,15000
6946,臺中市龍井區,臺中市龍井區交通義工服務協會,#####,辦理106年度義工服務文化觀摩暨推廣乾淨能源政策宣導活動,#####,#####,南部地區,20,加強地方關係、促進電源開發及節約用電,20000
6955,臺中市龍井區,臺中市龍井區公所,#####,發放急難救助金,#####,#####,龍井區,10,加強地方關係、促進電源開發及節約用電,10000
6979,臺中市龍井區,臺中市龍井區山腳社區發展協會,#####,辦理106年度會員境外文化交流暨節能減碳及推廣潔淨能源政策宣導活動,#####,#####,南部地區,20,加強地方關係、促進電源開發及節約用電,20000
6997,臺中市龍井區,台電公司台中供電區營運處,#####,協助中港變電所所在地消防隊山林滅火工作及開發電源宣導等活動,#####,#####,台中市龍井區新庄里消防隊隊部,10,加強地方關係、促進電源開發及節約用電,10000
7000,臺中市龍井區,臺中市龍井區公所,#####,發放急難救助金,#####,#####,龍井區,30,加強地方關係、促進電源開發及節約用電,30000
7012,臺中市龍井區,臺中市龍井區東海社區發展協會,#####,辦理長壽俱樂部健檢保健暨節能減碳宣導活動,#####,#####,龍井區,15,加強地方關係、促進電源開發及節約用電,15000
7042,臺中市龍井區,臺中市龍井區公所,#####,辦理麗水里環保志工第二小隊「隊務檢討會及空汙防治講座既節約用電及推廣潔淨能源政策宣導活動」,#####,#####,龍井區,15,加強地方關係、促進電源開發及節約用電,15000
7045,臺中市龍井區,臺中市龍井區公所,#####,辦理東海里環保志工第十三小隊「環保志工教育觀摩暨節能減碳宣導活動」,#####,#####,南部地區,15,加強地方關係、促進電源開發及節約用電,15000
7058,臺中市龍井區,臺中市龍井區公所,#####,辦理龍井民防分隊「文化觀摩暨節約用電安全宣導與推廣乾淨能源至測需導活動」,#####,#####,南部地區,15,加強地方關係、促進電源開發及節約用電,15000
7064,臺中市龍井區,臺中市龍井區麗水關懷福利協會,#####,辦理關懷志工戶外觀摩暨節約用電節能減碳宣導活動,#####,#####,南投縣,30,加強地方關係、促進電源開發及節約用電,30000
7069,臺中市龍井區,臺中市龍井區公所,#####,辦理烏日民防中隊犁份民防分隊「106年度重要節日安全維護工作績優隊員表揚及節約用電、節能減碳暨推廣乾淨能源政策宣導活動」,#####,#####,龍井區,15,加強地方關係、促進電源開發及節約用電,15000
7076,臺中市龍井區,臺中市龍井區太極氣功健身會,#####,辦理太極氣功20週年武藝研習暨節約能源宣導活動,#####,#####,龍井區,15,加強地方關係、促進電源開發及節約用電,15000
7082,臺中市龍井區,臺中市龍井區媽祖護佑關懷協會,#####,辦理106年度會員大會暨恭迎丁酉年大甲鎮瀾宮天上聖母進香遶近回鑾暨節能減碳及推廣乾淨能源政策宣導活動,#####,#####,龍井區,20,加強地方關係、促進電源開發及節約用電,20000
7089,臺中市龍井區,中華民國春林尊親會,#####,辦理106年度會員尊老敬賢公益健康講座暨節能減碳及推廣潔淨能源政策宣導活動,#####,#####,龍井區,10,加強地方關係、促進電源開發及節約用電,10000
7097,臺中市龍井區,台中縣龍井鄉祥安促進協會,#####,辦理106年度運動愛台灣健行暨支持電源開發推廣乾淨能源宣導活動,#####,#####,龍井區,20,加強地方關係、促進電源開發及節約用電,20000
